cellname;cell_class
132_C11;PTG_3h
132_C12;PTG_3h
132_C13;PTG_12h
132_C14;PTG_12h
132_C15;PTG_12h
132_C16;PTG_12h
132_C17;PTG_12h
132_C18;PTG_12h
132_C19;PTG_3h_lys
132_C20;PTG_3h_lys
132_C21;PTG_3h_lys
132_C22;PTG_3h_lys
132_C23;PTG_3h_lys
132_C24;PTG_3h_lys
132_D1;LPS
132_D2;LPS
132_D3;LPS
132_D4;LPS
132_D5;LPS
132_D6;LPS
132_D7;PTG_3h
132_D8;PTG_3h
132_D9;PTG_3h
132_D10;PTG_3h
132_D11;PTG_3h
132_D12;PTG_3h
132_D13;PTG_12h
132_D14;PTG_12h
132_D15;PTG_12h
132_D16;PTG_12h
132_D17;PTG_12h
132_D18;PTG_12h
132_D19;PTG_3h_lys
132_D20;PTG_3h_lys
132_D21;PTG_3h_lys
132_D22;PTG_3h_lys
132_D23;PTG_3h_lys
132_D24;PTG_3h_lys
132_E1;LPS
132_E2;LPS
132_E3;LPS
132_E4;LPS
132_E5;LPS
132_E6;LPS
132_E7;PTG_3h
132_E8;PTG_3h
132_E9;PTG_3h
132_E10;PTG_3h
132_E11;PTG_3h
132_E12;PTG_3h
132_E13;PTG_12h
132_E14;PTG_12h
132_E15;PTG_12h
132_E16;PTG_12h
132_E17;PTG_12h
132_E18;PTG_12h
132_E19;PTG_3h_lys
132_E20;PTG_3h_lys
132_E21;PTG_3h_lys
132_E22;PTG_3h_lys
132_E23;PTG_3h_lys
132_E24;PTG_3h_lys
132_F1;LPS
132_F2;LPS
132_F3;LPS
132_F4;LPS
132_F5;LPS
132_F6;LPS
132_F7;PTG_3h
132_F8;PTG_3h
132_F9;PTG_3h
132_F10;PTG_3h
132_F11;PTG_3h
132_F12;PTG_3h
132_F13;PTG_12h
132_F14;PTG_12h
132_F15;PTG_12h
132_F16;PTG_12h
132_F17;PTG_12h
132_F18;PTG_12h
132_F19;PTG_3h_lys
132_F20;PTG_3h_lys
132_F21;PTG_3h_lys
132_F22;PTG_3h_lys
132_F23;PTG_3h_lys
132_F24;PTG_3h_lys
132_G1;LPS
132_G2;LPS
132_G3;LPS
132_G4;LPS
132_G5;LPS
132_G6;LPS
132_G7;PTG_3h
132_G8;PTG_3h
132_G9;PTG_3h
132_G10;PTG_3h
132_G11;PTG_3h
132_G12;PTG_3h
132_G13;PTG_12h
132_G14;PTG_12h
132_G15;PTG_12h
132_G16;PTG_12h
132_G17;PTG_12h
132_G18;PTG_12h
132_G19;PTG_3h_lys
132_G20;PTG_3h_lys
132_G21;PTG_3h_lys
132_G22;PTG_3h_lys
132_G23;PTG_3h_lys
132_G24;PTG_3h_lys
132_H1;LPS
132_H2;LPS
132_H3;LPS
132_H4;LPS
132_H5;LPS
132_H6;LPS
132_H7;PTG_3h
132_H8;PTG_3h
132_H9;PTG_3h
132_H10;PTG_3h
132_H11;PTG_3h
132_H12;PTG_3h
132_H13;PTG_12h
132_H14;PTG_12h
132_H15;PTG_12h
132_H16;PTG_12h
132_H17;PTG_12h
132_H18;PTG_12h
132_H19;PTG_3h_lys
132_H20;PTG_3h_lys
132_H21;PTG_3h_lys
132_H22;PTG_3h_lys
132_H23;PTG_3h_lys
132_H24;PTG_3h_lys
132_I1;LPS
132_I2;LPS
132_I3;LPS
132_I4;LPS
132_I5;LPS
132_I6;LPS
132_I7;PTG_3h
132_I8;PTG_3h
132_I9;PTG_3h
132_I10;PTG_3h
132_I11;PTG_3h
132_I12;PTG_3h
132_I13;PTG_12h
132_I14;PTG_12h
132_I15;PTG_12h
132_I16;PTG_12h
132_I17;PTG_12h
132_I18;PTG_12h
132_I19;PTG_3h_lys
132_I20;PTG_3h_lys
132_I21;PTG_3h_lys
132_I22;PTG_3h_lys
132_I23;PTG_3h_lys
132_I24;PTG_3h_lys
132_J1;LPS
132_J2;LPS
132_J3;LPS
132_J4;LPS
132_J5;LPS
132_J6;LPS
132_J7;PTG_3h
132_J8;PTG_3h
132_J9;PTG_3h
132_J10;PTG_3h
132_J11;PTG_3h
132_J12;PTG_3h
132_J13;PTG_12h
132_J14;PTG_12h
132_J15;PTG_12h
132_J16;PTG_12h
132_J17;PTG_12h
132_J18;PTG_12h
132_J19;PTG_3h_lys
132_J20;PTG_3h_lys
132_J21;PTG_3h_lys
132_J22;PTG_3h_lys
132_J23;PTG_3h_lys
132_J24;PTG_3h_lys
132_K1;LPS
132_K2;LPS
132_K3;LPS
132_K4;LPS
