"gene","baseMean","log2FoldChange","pvalue","padj","avg_cpm"
"Cfb",227.559269582704,2.15995817435542,4.77184756682761e-18,7.83278895396558e-16,1373.73721663343
"Hp",40.2368931793484,2.15433080822184,1.40435005877805e-12,1.38310926413903e-10,247.969172777163
"Traf1",41.8322891107639,2.1381810772148,8.21540184273339e-08,3.94689945846929e-06,251.650470243626
"Pnp",364.520643340197,2.11969969654616,9.06967759887233e-25,2.23312468129735e-22,2204.48384935312
"Sla",18.9315200771602,2.0502557616901,9.29853577205027e-08,4.36090258023715e-06,116.624838419662
"Procr",59.2601209690549,2.03506738623846,3.03905514363453e-07,1.30414661927468e-05,359.722609021614
"Olr1",29.1827674365072,2.00947751040349,1.76037609347573e-06,6.45116429790479e-05,179.343986679809
"Clec7a",67.9230754992012,-2.00362821648221,3.54547687924489e-25,9.6326939074381e-23,421.238407399223
"C3ar1",25.4845111880627,-2.00746905370486,5.08465696250158e-08,2.58238831889565e-06,156.980706032282
"4632428N05Rik",5.85534354086724,-2.06590948199562,1.86576029451983e-06,6.77434348411141e-05,36.6886124213177
"Kcnn4",12.2305716276413,-2.06876560112973,3.94212950222603e-06,0.000135043644991474,75.7013463899333
"Zfp36l2",21.836824622337,-2.07084125541584,6.42479232125615e-10,4.64412281643828e-08,134.013701465065
"Slc43a2",8.70269429247839,-2.09107774982036,6.85838480395741e-09,4.22165733362347e-07,55.3285951143363
"Lmo2",15.8819080996598,-2.13300274299792,2.47559700661281e-07,1.08967758743588e-05,97.586812789585
"Cerk",5.37988914683893,-2.15611281473881,6.34880241480268e-06,0.000204172302964205,33.9333896112201
"Apobec1",18.6125892490733,-2.21300378113276,1.96446959494687e-09,1.31169965581241e-07,114.689556684346
"Adam8",27.0335580492249,-2.24762113609598,6.10676705013662e-15,7.07576729235683e-13,168.445938298111
"Fabp4",42.4340704134975,-2.3308991926107,9.37253686169084e-18,1.47692435866524e-15,261.799553952186
"Itgb5",7.62024730521607,-2.37864685042627,2.61604309126414e-06,9.28459617840998e-05,46.8911815263146
"Hist1h1c",3.454077358993,-2.38025627185394,1.29530969042555e-05,0.000382237642354417,21.6454765617992
"Atp6v0d2",51.1775142923299,-2.380545751958,7.25570542125278e-19,1.21633410668193e-16,314.31408474228
"Tgfbr2",6.79071752067064,-2.43558020512408,6.40135188733562e-06,0.000205025412684217,42.011133877789
"Prcp",20.7763549789329,-2.48845899493144,1.34227833765758e-13,1.41010813632054e-11,127.989856625802
"Tifab",4.55527052310549,-2.50447664266977,2.18900791757372e-05,0.000594730806295287,28.5317009901336
"Cd200r4",20.0340614640175,-2.51488950305451,8.66700235726306e-06,0.000268847683357778,122.258484297858
"Fos",5.29524049910586,-2.54367665267131,7.0949977167958e-06,0.000223605948042536,33.1468082785018
"Ckb",4.6067139920127,-2.58914783797175,1.15178670301537e-05,0.000349035670502236,28.4330825778105
"Smim14",4.43562170051441,-2.61147344628396,2.81891677629614e-05,0.000747819706412029,27.3575287145251
"Cd97",4.79985776055048,-2.63936405019443,2.95854194196803e-06,0.000104530726281462,30.1163994956438
"Fblim1",7.15939633169198,-2.64845582268267,5.14373028257158e-09,3.19113786585681e-07,45.0481916261677
"Tbxas1",16.4493501611695,-2.7649700707696,9.68099138742835e-15,1.08966473059354e-12,102.420824611819
"5430435G22Rik",11.3753021830882,-2.83977266998166,1.36431371965688e-15,1.76220127822567e-13,71.8245707560356
"Arhgap9",4.0923528551048,-3.01397402308563,9.11611101358118e-08,4.30094842371294e-06,25.7904063089536
"Mamdc2",6.96683529230154,-3.0288561102821,7.10988763484294e-07,2.84359414593541e-05,42.953653643601
"Sulf2",5.26044248705059,-3.0444656386263,4.33077561666339e-06,0.000146447129114553,32.6292098458115
"Wfs1",6.77946070036033,-3.05649493576131,1.3521224041719e-05,0.000394569348980384,41.9464723366915
"Pla2g15",6.97151681913858,-3.13812833846902,2.47656733623253e-08,1.34571545118456e-06,43.5982967536901
"Nceh1",7.66482559656785,-3.14070180347039,2.36186157432368e-08,1.29229912111779e-06,47.9756393679245
"Dhrs3",8.91525884145466,-3.14579967544113,1.91441681104537e-14,2.06625891153787e-12,56.7224177973417
"Cd93",5.60599642560843,-3.1899497548729,4.16540800913636e-07,1.7364682383061e-05,34.9565730683717
"Cd300a",6.65445869996557,-3.19418583894476,2.20992990360739e-11,1.93467085672473e-09,42.0960758511941
"Pdxk",7.24849771111103,-3.27263211685485,3.97024474226846e-11,3.32782535365247e-09,45.306289853221
"Cd300lb",4.38104060594831,-3.49760995449454,6.85644068507624e-12,6.43117811401377e-10,28.3953852346943
"Slc37a2",5.02174254968566,-3.53745941502824,2.29556321641236e-08,1.26480717357434e-06,31.3770090213587
"Rasa3",4.06337933763809,-3.58499663321065,1.64617640421088e-05,0.000463222281742054,25.2809224468134
"Vegfa",9.18639130588935,-3.69021107846732,1.99263645927766e-09,1.31932627417216e-07,57.4355488663557
"Adssl1",2.64839547653783,-3.89511851704493,4.9081770513491e-06,0.000161805552249287,16.5995650246254
"Ptgs1",3.63997753766704,-3.97690396294672,5.20413899773668e-08,2.59515260526375e-06,22.8945931319277
"Ccr2",5.40765908304213,-4.0427619920867,1.49442358387531e-08,8.59457183748436e-07,34.0167306751397
"Card11",1.77416500260206,-4.05589652632692,5.75738155736239e-06,0.000188225764690698,11.2992824321053
"Daglb",4.31380439324399,-4.09245981903142,4.39466081900577e-09,2.77004260743571e-07,27.1430783595918
"Rgs2",23.3583535669283,-4.1431977352405,2.4341297721362e-15,3.09330781849373e-13,145.056536457233
"Cxcl14",4.61499271509393,-4.55845972130118,9.87395766927315e-07,3.81357414099035e-05,28.735753344826
"Arhgap25",14.0775158835022,-4.93483831313533,7.68935279430252e-22,1.55344642734127e-19,87.8857869861543
"Rcbtb2",4.16975040405647,-4.99930700978391,3.17909189004793e-08,1.69243682443836e-06,26.0998387417427
"Gadd45g",4.65139041204021,-5.36782858604128,3.63464843504569e-05,0.00094201957301727,28.6855156023575
"Lrmp",1.85985719042883,-5.43106443726004,3.23285938911359e-05,0.000846235851389568,11.6631133099189
"Slc40a1",1.89114069291261,-5.60249972438847,2.92433151503123e-05,0.000773181476742652,11.7760498394391
"Matk",1.49194854240997,-5.84657864110319,1.36642839957753e-05,0.000397272670120715,9.39406977483483
