"gene","baseMean","log2FoldChange","pvalue","padj","avg_cpm"
"G530011O06Rik",33.6757509432416,4.90108255574232,1.40745775588272e-08,2.04081374602994e-06,204.086278275062
"Ero1l",17.8160173445923,3.82917806708816,9.8094793666421e-11,1.87956631435839e-08,109.95331930719
"Wdr92",42.6542658303294,3.28590534621471,9.43298599074151e-07,7.78584151389665e-05,258.696026331915
"Hilpda",28.1713484728137,3.06668691821226,3.4014933210202e-06,0.000231000147687005,170.411720683512
"Cxcl2",615.257966602051,2.84236040675445,4.79690742363603e-32,8.57846944260242e-29,3724.2085212408
"Olr1",29.1827674365072,2.69547109205332,8.56649109022977e-11,1.70219350737343e-08,179.343986679809
"Inhba",55.5618911499854,2.6898169034412,9.92172469180145e-07,8.0651595411386e-05,332.101303825646
"Clec4e",423.232262624096,2.67602753724381,1.7691904628659e-53,9.49170683327556e-50,2567.58030946795
"Prdx6",79.4950796731932,2.67548427541423,2.4545554427752e-28,3.29217248762224e-25,490.760773109801
"Cav1",89.6008716717567,2.57198734704835,3.84127775034068e-08,5.02645247087263e-06,543.287457995981
"Gdf15",10.5431271180156,2.56565425060322,8.74522706129104e-06,0.000527170148132881,64.5364259266238
"Hmox1",89.9286930959647,2.53106209783497,2.11029943939974e-21,1.8869594153966e-18,556.648454178075
"Tnf",1583.7790662543,2.51586752891661,1.21506731416108e-38,3.25941807023711e-35,9474.84600957582
"Procr",59.2601209690549,2.42932295845243,7.77423271453964e-10,1.30339870354704e-07,359.722609021614
"Jag1",21.3517448693151,2.42483687405491,2.82543129448792e-06,0.000201781741730177,130.039089936816
"Met",58.1043817642437,2.3205418550783,1.76384382872122e-11,3.78520885643574e-09,353.699927868066
"Ptgr1",7.66607762757844,2.27754127584122,2.96271277017554e-06,0.000206427974181712,47.7312767378011
"Cxcl3",377.094365945261,2.20217965255282,8.4142423335056e-14,2.65543588936809e-11,2319.67528073641
"Slc7a11",75.9919603241695,2.14882060287641,5.36758732292422e-14,1.91980706583256e-11,464.907806912384
"Dcbld2",32.7359897229143,2.05945931740413,1.45945782173295e-06,0.000115146929611725,198.64688117031
"Malt1",50.5285755606029,1.98916914196789,3.19756756423125e-08,4.39870512361555e-06,306.389633596504
"Gde1",18.6005919365919,1.93595247806264,3.78847685532396e-06,0.000247868028400159,113.804761280868
"Srxn1",42.5510643762187,1.90412294099512,7.6130098330964e-14,2.55273735966014e-11,264.757752904711
"H2-M2",146.239848664328,1.86145552018878,2.04358443703783e-11,4.21685788642613e-09,884.930288874557
"Mcoln2",20.4639204393341,1.80488008440983,2.41634627473864e-07,2.35703595708596e-05,126.2256383583
"Il1a",425.115095044403,1.77447698375766,3.6443074714934e-13,1.0290373465559e-10,2543.33411744181
"Nampt",166.452169955419,1.76711568713764,4.43949607156509e-16,2.38178964239467e-13,1011.2272272737
"Sqstm1",130.22890142785,1.73855503144353,5.47076040171484e-21,4.1929470793143e-18,798.898013369291
"Hk2",44.9001208720424,1.67945243814293,2.67011237786992e-06,0.00019358314739557,272.721084858505
"Il1rn",765.212859456466,1.65533892940918,3.81427728549868e-18,2.55794970458755e-15,4613.11489046561
"Slc7a2",261.701578443036,1.64972901622582,5.24945210806114e-10,9.71148639991311e-08,1577.2003738329
"Txnrd1",123.270144244316,1.5812046066675,6.24380369573509e-15,2.79150056896823e-12,761.14517796884
"Ccrl2",166.832495025566,1.56684732909666,9.41021846531239e-07,7.78584151389665e-05,1001.40261524804
"Rasgef1b",59.2348095881447,1.5399878044467,1.56895440601469e-05,0.000863304573555284,359.790210249532
"Plk2",62.9105042574451,1.52095572603086,6.22286943689344e-08,7.41904322865185e-06,383.649248825933
"Sod2",337.272639756318,1.51347565216408,5.45277466923484e-22,5.85082722008898e-19,2044.14361695334
"Gclm",25.6843136587658,1.48199414125709,9.69608531292254e-06,0.000565429322867711,159.517631759069
"Id2",234.74573463641,1.46042613107638,4.40751000591463e-17,2.62736568685911e-14,1431.06889774489
"F10",205.754864814411,1.45124401841662,5.20010089864182e-12,1.21298005744406e-09,1244.8731246158
"Sgk1",128.40169755351,1.4162833960913,3.04463599491729e-12,7.77832005368156e-10,782.755687443183
"Il1b",749.307226187987,1.39690395990482,1.39793540578326e-11,3.12496810501132e-09,4516.12838379105
"Cln5",33.9638191473243,1.38200622000723,7.46029571647042e-06,0.000460051569182343,208.158411526224
"Bhlhe41",44.3038429832106,1.38055884031286,2.47107441872887e-06,0.000184129364673338,273.157730975281
"Pgk1",148.584187016858,1.37486857063805,1.11472662219362e-13,3.32250462670488e-11,910.322176500058
"Irg1",604.189760731596,1.37220666292297,1.06496641600316e-14,4.39503447835151e-12,3643.52259088095
"Basp1",66.2540413197914,1.37148147385826,3.62070250566191e-06,0.000242813361785952,402.403428566924
"Ass1",55.6632977189813,1.34124709431217,1.57695896008235e-05,0.000863304573555284,338.887163154368
"Tnip1",60.6227011819895,1.2812139012999,4.67230344065791e-06,0.000302010939266623,369.69062189071
"Slfn2",143.394023509185,1.2746743516564,2.05436701396143e-07,2.04105167220427e-05,867.600765379305
"Clic4",221.273060916339,1.17138278323262,5.34462330232601e-07,4.70064000278345e-05,1335.10094510403
"AA467197",436.766189360688,1.16324027286182,5.27903343342734e-07,4.70064000278345e-05,2626.05510314027
"Plek",313.97274884672,1.1444715415394,5.08436855642906e-15,2.47978520956745e-12,1902.99270557014
"Srgn",220.606922933066,1.14345530828136,8.0005635331745e-08,9.33109203380026e-06,1328.68974604757
"Cd53",272.403800730203,1.09005281737804,1.95020576597378e-09,2.98938683841409e-07,1665.69884919748
