x
1	G530011O06Rik
2	Ero1l
3	Wdr92
4	Hilpda
5	Cxcl2
6	Olr1
7	Inhba
8	Clec4e
9	Prdx6
10	Cav1
11	Gdf15
12	Hmox1
13	Tnf
14	Procr
15	Jag1
16	Met
17	Ptgr1
18	Cxcl3
19	Slc7a11
20	Dcbld2
21	Malt1
22	Gde1
23	Srxn1
24	H2-M2
25	Mcoln2
26	Il1a
27	Nampt
28	Sqstm1
29	Hk2
30	Il1rn
31	Slc7a2
32	Txnrd1
33	Ccrl2
34	Rasgef1b
35	Plk2
36	Sod2
37	Gclm
38	Id2
39	F10
40	Sgk1
41	Il1b
42	Cln5
43	Bhlhe41
44	Pgk1
45	Irg1
46	Basp1
47	Ass1
48	Tnip1
49	Slfn2
50	Clic4
51	AA467197
52	Plek
53	Srgn
54	Cd53
55	Psme2
56	Ccl3
57	Mtpn
58	Tnfaip3
59	Cebpb
60	Pnp
61	Alas1
62	Slc3a2
63	Hvcn1
64	Prdx1
65	Ldha
66	Esd
67	Hspa5
68	Pkm
69	Ccl9
70	Tnfrsf1b
71	Txn1
