x
1	Slco3a1
2	Upp1
3	Phf11a
4	Ch25h
5	Ifi44
6	Atp10a
7	Serpina3f
8	Vcam1
9	Papd7
10	Ddx60
11	Pydc4
12	Gm14446
13	Ccl17
14	Gbp4
15	Igtp
16	Oas2
17	I830012O16Rik
18	Gbp6
19	Ms4a4c
20	Nt5c3
21	Fgl2
22	Tpst1
23	Ccnd2
24	Il12a
25	1600014C10Rik
26	Flnb
27	Cmpk2
28	Zbp1
29	Gbp3
30	Cxcl10
31	Gbp5
32	Ifit1
33	Gbp2
34	Slfn4
35	Serpina3g
36	Cav1
37	Gpd2
38	Ifit3
39	Irgm1
40	Ifit2
41	Cd40
42	Oasl2
43	Tarm1
44	Ms4a6c
45	Wdr92
46	Ifi203
47	Isg20
48	Mx1
49	Slc7a2
50	Pyhin1
51	Car13
52	Oasl1
53	Socs1
54	Rsad2
55	Cxcl9
56	Ptgs2
57	Rtp4
58	Herc6
59	AA467197
60	Oas1b
61	Ifih1
62	Ccl5
63	Helz2
64	Ifi205
65	Irf7
66	Oas3
67	Mx2
68	AW112010
69	Pla2g16
70	Il1b
71	Cfb
72	Ifi47
73	Ddx58
74	Ms4a6d
75	Phf11b
76	Tap1
77	Il15ra
78	Acsl1
79	Nmi
80	Saa3
81	Parp14
82	Pnp
83	Slamf7
84	Iigp1
85	Ifitm3
86	Fam26f
87	Phf11d
88	Cd69
89	Il6
90	Irg1
91	Gbp7
92	Parp12
93	Fabp3
94	Gpr84
95	Mnda
96	Stat1
97	Daxx
98	Sp110
99	Trim30a
100	Xkr8
101	Isg15
102	Stat2
103	Il15
104	Mthfr
105	Cd38
106	Tnfsf10
107	Usp18
108	Slc25a22
109	Tnfsf15
110	Lcn2
111	Nod1
112	Tma16
113	Cd86
114	Ccl2
115	Bst2
116	Lap3
117	Trex1
118	Slfn8
119	Il18
120	Trim30d
121	Fpr2
122	Ifi204
123	Xaf1
124	Dck
125	Il1a
126	Fcgr1
127	Ifi35
128	Casp4
129	Ccl22
130	H2-M2
131	Acpp
132	Cd200
133	Batf2
134	Dram1
135	Clec4e
136	Pml
137	Ccrl2
138	Dhx58
139	Ikzf1
140	Ctsc
141	Clic4
142	Dennd3
143	Mndal
144	Aim1
145	Cd274
146	Gch1
147	Psme2
148	Nlrc5
149	Lacc1
150	Cers6
151	Socs3
152	Casp1
153	Sdc4
154	Marcksl1
155	Ccl3
156	Znfx1
157	Parp10
158	Lgals9
159	Peli1
160	Samd9l
161	Sod2
162	Epsti1
163	Itgal
164	5730508B09Rik
165	Procr
166	Nlrp3
167	Fam102b
168	Gadd45b
169	Fscn1
170	Etnk1
171	Apobec3
172	St3gal5
173	Tnf
174	Eif2ak2
175	Dnaja1
176	Dse
177	Ccdc71l
178	Slfn2
179	Gpr141
180	Jak2
181	Tbc1d13
182	Psmb9
183	P2ry14
184	Stxbp3a
185	Slfn5
186	Aftph
187	Traf1
188	Pdpn
189	Tlr2
190	Slc2a6
191	Psma5
192	Fpr1
193	Plekhf2
194	Rasgef1b
195	Slc31a2
196	C3
197	Srgn
198	Psmb8
199	Nfkbiz
200	Ccl4
201	Uba7
202	Psmb10
203	Tor1aip2
204	Marco
205	Tor3a
206	Ubr4
207	Nampt
208	Cpd
209	Itga4
210	Cflar
211	Calcrl
212	N4bp1
213	Ptx3
214	Skil
215	Ube2l6
216	F10
217	Notch2
218	Il1rn
219	Rnf19b
220	Parp9
221	Ogfr
222	Mxd1
223	Samhd1
224	Plek
225	Irf1
226	Tspo
227	Aida
228	Adar
229	Cxcl3
230	Tap2
231	Dbnl
232	Tank
233	Sppl2a
234	Dcbld2
235	Tapbp
236	Hck
237	Kpna3
238	March5
239	Lmo4
240	Cd14
241	Cxcl16
242	Malt1
243	Tor1aip1
244	Usp25
245	Gng12
246	Casp7
247	Psme1
248	Fam46a
249	Fndc3a
250	Trafd1
251	G3bp2
252	Rnf114
253	Slc15a3
254	Myd88
255	Clcn7
256	Ppp1cb
257	Cdkn1a
258	St3gal1
259	Mdfic
260	Abracl
261	Ehd1
262	Rab32
263	Rasa4
264	Mtpn
265	Nono
266	Igsf8
267	Map4
268	Lyn
269	Tnfaip2
270	Dnajb6
271	Coa5
272	Map2k1
273	Lgals3bp
274	Bfar
275	Trim25
276	Hk3
277	H2-T23
278	Nfkb2
279	Msn
280	Snx10
281	Klf6
282	Slc7a11
283	Psma6
284	Dync1i2
285	Ddhd1
286	Prdx5
287	Icam1
288	Larp1
289	Tnfaip3
290	Tnfrsf1b
291	Sema4a
292	Dtx3l
293	Nfkb1
294	Nfkbia
295	Mmp13
296	Cxcl2
297	Actr2
298	Mapkapk2
299	Rap1b
300	Cd47
301	Ccl9
302	Mmp14
303	AI607873
304	Grina
305	Acp5
306	Axl
307	Rassf4
308	Ccr7
309	H3f3b
310	Actb
311	B2m
312	Adam17
313	Zyx
314	H2-K1
315	Ubc
316	Npc2
317	Tmbim6
318	Sat1
319	Cybb
320	Fcer1g
321	Txn1
322	Lilrb3
