myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2
Dnajc1	0.042	-1.28988618504824	0.916	-1.86091240248028	1	1
Prkar2b	0.958	1.72030050524591	0.916	2.48186900775705	1	0.778
Kif13a	0.958	1.17665499567498	0.916	1.69755432709752	1	0.778
Vezf1	0.958	1.90954250488444	0.916	2.75488750216347	1	0.556
Borcs6	0.958	1.42310833424261	0.916	2.05311133645956	1	0.556
Pus10	0.958	2.21029665890357	0.916	3.18878402869363	1	0.333
Mthfsl	0.958	1.22644566017799	0.916	1.76938707185858	1	0.778
Itgal	0.958	2.7008817116236	0.916	3.89654865138706	1	0.333
Tmem126a	0.958	1.1039173408978	0.916	1.59261607326459	1	0.778
Itsn1	0.056	-2.00248050054371	0.888	-2.88896868761126	1	1
Urb1	0.056	-2.54770755102703	0.888	-3.67556504950206	0	0.889
Mrpl42	0.056	-0.752570601030746	0.888	-1.08572987402588	1	1
Rngtt	0.056	-2.51230562397611	0.888	-3.62449086490779	0	0.889
Sec24b	0.056	-1.781121071023	0.888	-2.56961453638772	0.75	1
Sord	0.056	-2.69312455088553	0.888	-3.88535743405888	0	0.889
Dgkz	0.056	-1.60883713140071	0.888	-2.32106135106983	0.75	1
Glrx2	0.056	-1.29098418131557	0.888	-1.86249647625007	0.75	1
Gda	0.944	1.08452754878637	0.888	1.56464251634156	1	0.889
Ttc39c	0.944	1.73186132764699	0.888	2.49854774890368	1	0.667
Wac	0.944	1.60693478221598	0.888	2.31831684133498	1	0.778
Mlst8	0.944	1.64383933915143	0.888	2.37155886261196	1	0.333
Dcbld2	0.944	1.65822807660353	0.888	2.39231742277876	1	0.111
Zbtb11	0.944	1.52242653544447	0.888	2.1963972128035	1	0.444
Cd200	0.944	1.68755569169805	0.888	2.43462822763672	1	0.556
Ntan1	0.944	1.56946015603913	0.888	2.26425238399047	1	0.667
Lratd2	0.944	2.59338729278207	0.888	3.74146698640115	1	0.333
Ifi27	0.944	1.339774345485	0.888	1.93288580414146	1	0.778
Ttc7b	0.944	1.37054600415175	0.888	1.97727992349992	1	0.222
Habp4	0.944	1.8470221479031	0.888	2.66468969319189	1	0.222
Fancc	0.944	1.98466313535255	0.888	2.86326366320826	1	0.444
Smarce1	0.944	1.26412672714568	0.888	1.82374936030827	1	0.889
Ip6k1	0.944	1.60787419045792	0.888	2.31967212094699	1	0.556
Ddx10	0.944	1.34689181325386	0.888	1.94315413959529	1	0.889
Herpud2	0.944	1.1534205251631	0.888	1.66403407171235	1	0.889
Zmym5	0.944	1.29276830310907	0.888	1.86507041991389	1	0.444
Vps9d1	0.944	2.05343668454451	0.888	2.96248292157184	1	0.333
Dnaja2	0.944	0.732498074199356	0.888	1.05677133910813	1	1
Prdx2	0.944	1.15326228479566	0.888	1.66380577911897	1	1
Dnajc12	0.944	1.450010175506	0.888	2.09192248944104	1	0.444
Orai3	0.944	1.54724956864148	0.888	2.23220927969666	1	0.333
Mef2a	0.944	1.51444018381182	0.888	2.18487534290828	1	0.667
Axl	0.944	2.596665570841	0.888	3.74619654189942	1	0.444
Fgfr1op2	0.944	0.8173200143151	0.888	1.17914353147169	1	1
Clec4d	0.944	1.61229098141651	0.888	2.32604420335959	1	0.444
Rnf181	0.944	1.11981449631871	0.888	1.61555082055458	1	0.778
Prr15	0.944	1.64925940662077	0.888	2.37937836707126	1	0.222
Parp12	0.944	1.5993875765806	0.888	2.30742852519225	1	0.333
Tspan33	0.944	2.31800611598886	0.888	3.34417592828742	1	0.222
Tmem168	0.944	1.14178446053332	0.888	1.6472467789755	1	0.778
Stx2	0.944	2.16737161418654	0.888	3.12685627955043	1	0.222
Trmo	0.944	1.97016712670087	0.888	2.84235034341381	1	0.111
Csde1	0.944	0.793385906565419	0.888	1.14461391291313	1	0.889
Ssr3	0.944	0.829335643759044	0.888	1.19647842048363	1	1
Supt20	0.944	1.16932781346651	0.888	1.68698343766166	1	0.778
Skil	0.944	1.2476478678286	0.888	1.79997539169201	1	1
Phf21a	0.944	1.10639442911016	0.888	1.59618975614441	1	0.667
Gpr155	0.944	1.62794687848906	0.888	2.34863088842683	1	0.444
Nsmf	0.944	1.52558360199724	0.888	2.20095189706294	1	0.444
Plxdc2	0.944	1.38462311804259	0.888	1.99758890590026	1	0.778
Mndal	0.944	1.77694438344291	0.888	2.56358884992859	1	0.333
Slc41a1	0.944	2.23978419175502	0.888	3.23132554610646	1	0.556
Ube2f	0.944	0.996072649351925	0.888	1.43702907158515	1	1
Pid1	0.944	2.08389589202922	0.888	3.00642626915943	1	0.667
Fn1	0.944	0.969513424005379	0.888	1.39871220888784	1	1
Nfkb2	0.931	0.795691826111396	0.862	1.14794065160679	1	1
Slc26a2	0.931	1.19632776127368	0.862	1.72593612846734	1	0.778
Alcam	0.931	1.14470339586838	0.862	1.65145791250806	1	0.667
Zc3h7b	0.931	1.30736710253022	0.862	1.88613203544172	1	0.222
Rps6ka5	0.931	2.06988515495962	0.862	2.98621304826992	1	0.222
Ap3b1	0.931	0.945587101362586	0.862	1.36419382186437	1	0.889
Gm21063	0.931	0.897941593205959	0.862	1.29545588352617	1	0.111
Rps12	0.931	1.04934123966133	0.862	1.51387940265967	1	0.778
Chchd4	0.931	1.28284042373265	0.862	1.85074751757099	1	0.889
Gpn3	0.931	1.74769947943402	0.862	2.52139737194369	1	0.333
Hadhb	0.931	1.00508623065729	0.862	1.45003292063505	1	0.333
G6pdx	0.931	1.53453660426098	0.862	2.21386834902991	1	1
Ifi203	0.931	1.45755738114138	0.862	2.10281080558378	1	0.333
Ifi204	0.931	1.64127851828976	0.862	2.36786437905422	1	0.222
Hfe	0.069	-3.17141810593255	0.862	-4.57538917401435	0.5	1
Ankrd13b	0.069	-2.12596155731473	0.862	-3.06711419585854	0.25	0.889
Rdx	0.069	-0.698632657836617	0.862	-1.00791387086396	1	1
Lrrc8b	0.069	-2.56261563411532	0.862	-3.69707286704269	0.75	1
