p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Syngr2	2.13863635105344e-37	0.478390836523113	1	1	4.51017020073659e-33
Tm2d2	5.81641940375547e-37	2.82319351555438	1	0.778	1.22662468805799e-32
Btg2	1.03889828440032e-36	-2.43071912151111	0.75	1	2.19093259197183e-32
Cdkn1a	2.60825986223958e-36	0.74009402885379	1	1	5.50055922347705e-32
Tspan33	2.89813674522799e-36	3.34417592828741	1	0.222	6.11188058201131e-32
Mgl2	4.4759457610275e-36	-2.28757659009659	0.5	0.889	9.4393220154309e-32
Map3k1	1.16330249435495e-35	1.61373273941081	1	1	2.45328863034515e-31
Rdh11	1.30714436248938e-35	2.60455322907904	0.75	0.333	2.75663674605386e-31
Pf4	1.88448822305098e-35	0.984007150274151	1	0.667	3.97419721359221e-31
Tma16	3.21681617947282e-35	2.05128050494369	1	0.778	6.78394364089024e-31
Atp1a1	3.57300033577874e-35	-1.14700241238668	1	1	7.53510040812379e-31
Tagln2	4.18030366054775e-35	0.427260119760119	1	1	8.81584238972915e-31
Il1r2	6.41722318076749e-35	-1.86709180730164	1	0.667	1.35332819659206e-30
Stat6	7.5282752376094e-35	1.0902888853291	1	0.889	1.58763796485945e-30
F10	8.13096548482492e-35	-1.18630355106857	0.5	0.889	1.71473931109473e-30
Sh3bgrl3	1.31234468878548e-34	-0.615570486651553	1	1	2.7676037141797e-30
Irf8	1.66990099101219e-34	0.702657543390911	1	1	3.52165419994561e-30
Rogdi	2.5381886687695e-34	-1.16572806745445	1	1	5.352786083568e-30
Map2k3	8.43356986123557e-34	1.64446351246982	1	0.667	1.77855554803597e-29
Cd164	1.84497916969857e-33	1.17661965401632	1	1	3.8908765709773e-29
Larp4b	2.25494827963516e-33	1.25832011738803	1	1	4.7554604269226e-29
Prps1	2.63925433261173e-33	-1.92506169018984	1	0.889	5.56592346204489e-29
Wfdc17	3.96448273876765e-33	-0.717865494971662	1	0.889	8.36069764778709e-29
Ctsb	4.40050562547504e-33	-0.639630157492702	1	1	9.28022631356432e-29
Cops8	4.94675522370301e-33	1.72246602447109	1	0.889	1.04322120912673e-28
Fnbp1l	5.38485223913893e-33	3.01601231798863	1	0.667	1.13561148871201e-28
Fancc	7.73636583505279e-33	2.86326366320826	1	0.444	1.63152219095428e-28
Itga1	9.04801906005354e-33	3.00642626915943	1	0.444	1.90813673957469e-28
Gclm	1.01942956057785e-32	1.5376567859428	1	0.778	2.14987500030263e-28
Vwa5a	1.31594038547149e-32	3.46365620449902	1	0.667	2.77518667892082e-28
Ppp4r1	1.91256350007031e-32	2.5668151540109	1	0.556	4.03340516529827e-28
Msr1	2.2051899797128e-32	1.92568819106264	1	0.889	4.65052514821633e-28
Cfp	4.71301775311063e-32	0.56575189675532	1	1	9.939283139535e-28
Trps1	8.69348938834437e-32	1.61171522832684	1	0.667	1.83336997710794e-27
Dusp16	1.31993553977901e-31	1.19951978363061	1	1	2.78361205983996e-27
Chchd4	1.53962259711333e-31	1.85074751757098	1	0.889	3.2469100950523e-27
Sri	1.60899370546531e-31	1.17706707068633	1	1	3.39320682545579e-27
Myo1g	1.63753078855226e-31	0.781236789736327	1	1	3.45338867997787e-27
Dnaja2	3.51390127558616e-31	1.05677133910813	1	1	7.41046640008364e-27
Ptma	5.37979168438889e-31	-0.932788685006266	1	1	1.13454426832077e-26
Cnn2	6.37672292710975e-31	2.38624290836908	0.5	0.667	1.34478709809817e-26
Pgap2	7.70218548775407e-31	1.34097054277854	1	1	1.62431389751245e-26
Slc26a2	1.40070382423778e-30	1.72593612846734	1	0.778	2.95394429493505e-26
Rcl1	1.85737024653398e-30	1.24456380233507	1	0.889	3.91700811291551e-26
Eif4h	2.01312133635778e-30	-0.889781244681956	1	1	4.24547158624492e-26
Mtmr4	2.27828948410452e-30	2.15305118287792	1	0.778	4.80468469302801e-26
Marcksl1	2.82257632673838e-30	1.74165167500677	1	1	5.95253121545857e-26
Slc25a1	3.40152504823105e-30	-0.930737337562887	1	1	7.17347617421445e-26
Abcg1	5.22566341560862e-30	1.23645875269801	1	0.889	1.1020401577177e-25
Sema4a	5.43455836227249e-30	0.811351309767899	1	1	1.14609401301964e-25
Clec4d	5.62555453603141e-30	2.32604420335959	1	0.444	1.18637319610366e-25
St6galnac4	7.45733754580293e-30	-1.70328246790992	0.75	1	1.57267791503438e-25
Ctsa	7.62817064943349e-30	-0.832322771083366	1	1	1.60870490825903e-25
Lancl1	8.76720026410375e-30	1.97137932206023	1	0.667	1.84891486369684e-25
Clec7a	1.21266554567401e-29	-1.20704445700301	1	1	2.55739036927191e-25
Gpr183	1.67497168424994e-29	-1.96152585218536	0.25	1	3.53234778491469e-25
Ankrd17	2.06472363223362e-29	1.30788227422599	1	1	4.35429566801748e-25
Ptpn2	2.87304855193596e-29	-1.45840500858836	1	1	6.05897209117775e-25
Nckap1l	3.34069109889593e-29	1.61005348168399	1	0.889	7.04518345846163e-25
Prmt2	5.50049736344955e-29	2.75488750216347	0.75	0.333	1.15999988897788e-24
Pnpla2	5.60817340402395e-29	2.45720695352278	1	0.333	1.18270768917461e-24
Pex19	5.68253051662919e-29	1.91212724397467	1	0.778	1.19838886065193e-24
Cx3cl1	6.02896018085669e-29	-1.85349934406902	0.75	1	1.27144741254087e-24
Tmem39a	6.21152853196257e-29	2.96639160735718	1	0.778	1.30994925210559e-24
Efhd2	6.36698310333193e-29	-1.11786183786514	1	1	1.34273306666167e-24
Ccng2	1.38272307641749e-28	2.34722953325022	1	0.444	2.91602469585684e-24
Skil	1.53258306658269e-28	1.79997539169201	1	1	3.23206442911624e-24
Mob1a	2.00762065210583e-28	0.978377725739994	1	0.889	4.23387119322598e-24
Diaph1	2.063003551068e-28	-1.87883431047754	1	1	4.3506681888473e-24
Mcemp1	2.3513665505763e-28	3.13675813750711	0.5	0.444	4.95879691851035e-24
Tgfbi	2.76512925568862e-28	1.15827464170339	0.75	0.667	5.83138108732174e-24
Dennd5a	3.13398284137155e-28	1.39669586328933	1	1	6.60925641416846e-24
Gpr85	3.22004019863308e-28	2.67061858526586	0.75	0.111	6.79074277489731e-24
Dnajc1	3.35090839058321e-28	-1.86091240248028	1	1	7.06673070490094e-24
Selplg	3.72839020886307e-28	-1.29772712399995	1	1	7.86280211147133e-24
Add3	4.03934609834119e-28	2.09145094341923	1	0.667	8.51857698679173e-24
Hfe	4.71397177881759e-28	-4.57538917401435	0.5	1	9.94129508434842e-24
Arrdc3	4.81607528740653e-28	2.45597606000108	0.75	0.667	1.01566211736116e-23
Hsp90ab1	5.27500120936286e-28	0.278426775655774	1	1	1.11244500504253e-23
Gdi2	5.4282955337714e-28	0.767091051843877	1	1	1.14477324511705e-23
Lrp1	6.94836033702993e-28	1.79315751909119	0.75	0.556	1.46533971147624e-23
Hmox1	6.96845666909722e-28	0.942339431612809	1	0.889	1.46957782694591e-23
Htatip2	7.25081920406327e-28	2.84799690655495	1	0.556	1.5291252619449e-23
Mndal	7.82760752494583e-28	2.56358884992859	1	0.333	1.65076415093583e-23
Pcbp1	9.09488174519659e-28	1.11162636087765	1	1	1.91801961124451e-23
Eif4ebp1	9.58004720462319e-28	0.961338379630895	1	1	2.02033615498298e-23
Ssrp1	1.23242002845132e-27	-1.07269522812184	1	1	2.59905059800099e-23
Stx11	1.30330408311108e-27	-1.26185957267368	1	1	2.74853798087297e-23
Mtss1	1.39353914675124e-27	1.43295940727611	1	0.889	2.93883470658369e-23
Pirb	1.63341200323459e-27	2.68929916053589	1	0.556	3.44470257362144e-23
Nphp3	1.72785000701013e-27	2.57046293102604	1	0.444	3.64386287978367e-23
Siva1	1.74479174696558e-27	-1.29255349275385	1	1	3.67959131517572e-23
Ccdc88b	2.5133982768709e-27	1.59825932333461	1	0.778	5.30050562609305e-23
Crip1	2.91573243054964e-27	0.905997009305012	1	0.889	6.14898812278614e-23
Ubfd1	3.20227147914589e-27	1.87446911791614	1	0.556	6.75327032237078e-23
Gm43212	3.57088964744668e-27	-1.9694780552231	0.75	0.778	7.5306491775003e-23
Adam8	3.79877936502775e-27	-0.851692050294529	1	1	8.01124580290702e-23
Pdia6	4.02005771450614e-27	-1.13515958328164	1	1	8.47789971412199e-23
Hdlbp	5.34647974025062e-27	0.9851249403342	1	1	1.12751911242145e-22
Egr1	5.71080319128894e-27	-2.7594204449939	0.5	0.778	1.20435128501092e-22
Itgal	7.5795369798659e-27	3.89654865138706	1	0.333	1.59844855368392e-22
Supt6	7.70633614242932e-27	2.18982455888002	1	0.778	1.62518922907692e-22
Mdh1	9.35013662773849e-27	-1.55099265149202	1	1	1.97185031342377e-22
Ssr3	1.22053377319695e-26	1.19647842048363	1	1	2.57398367429505e-22
Gns	1.71013288011602e-26	-1.64158754608895	1	1	3.60649923087666e-22
Sema6d	2.70834872329632e-26	2.16992500144231	0.75	0.444	5.7116366225596e-22
Dbnl	2.96419547217031e-26	1.31732252021505	1	1	6.25119183125996e-22
Nelfb	3.67526284389299e-26	1.90689059560852	1	0.556	7.75076181148592e-22
Stat5a	3.68616139472579e-26	-1.12419443452104	1	1	7.77374576533723e-22
Csf2rb2	5.31996860497215e-26	-0.579615285494516	1	1	1.12192817910258e-21
Tubb6	5.85974498460338e-26	-1.07108309806148	1	1	1.23576161980301e-21
Wac	7.53403159523954e-26	2.31831684133498	1	0.778	1.58885192312007e-21
Pilra	1.125024722195e-25	3.29768054864069	0.75	0.333	2.37256463663704e-21
Zyx	1.15845785999581e-25	-1.31483251695188	1	1	2.44307178094516e-21
Ddx5	1.42486195943519e-25	0.688535099021219	1	1	3.00489138625288e-21
Gsdmd	2.24856534792877e-25	-1.49173025627333	0.5	1	4.74199946224699e-21
Afg3l1	2.33525280653256e-25	2.15958305722085	1	0.778	4.92481464369651e-21
Tspan31	2.60284224372683e-25	2.29645740737124	1	0.778	5.48913400779552e-21
Gga3	4.57852970115036e-25	2.62630329610206	1	0.444	9.65566128675599e-21
Cmc2	5.57947222836937e-25	-2.44772611798502	1	0.889	1.17665489824082e-20
Cyba	6.36710255090233e-25	-0.624080742407853	1	1	1.34275825695979e-20
Flna	1.06128778531092e-24	-0.622858562547017	1	1	2.2381498104422e-20
Rmnd5a	1.47208432027431e-24	1.41319615245468	1	0.889	3.10447862302649e-20
Slc16a6	1.52400043375141e-24	-2.70659194512269	0.5	0.889	3.21396451473834e-20
2610001J05Rik	1.59243922033019e-24	1.68449817427207	1	0.556	3.35829507175434e-20
Prdx6	2.78022120719687e-24	0.68688740204566	1	1	5.86320850385747e-20
Neat1	5.38279994511515e-24	-0.792061672620957	1	1	1.13517868042533e-19
Cd24a	6.39263736437313e-24	2.18115225686557	0.5	0.444	1.34814329377265e-19
Slc30a7	7.51414013163623e-24	1.88476778471038	1	0.556	1.58465701236077e-19
Gbe1	8.90158336068823e-24	1.97982211806237	1	0.667	1.87725491493554e-19
Sec61b	9.53101473220332e-24	1.17475815517826	1	1	2.00999569687436e-19
Dusp1	1.15604461621796e-23	-3.21613343086477	0.5	0.778	2.43798249114205e-19
Ptger4	1.16078666843484e-23	2.0479344770637	1	0.667	2.44798300506224e-19
Cnn3	1.17133771632451e-23	-2.40885892434972	1	0.778	2.47023410995676e-19
Dstn	1.22968057374012e-23	-0.89235927681203	1	1	2.59327336196054e-19
Mreg	1.86026940908729e-23	1.63137296567811	1	0.556	3.92312215682419e-19
Btd	2.03745571946244e-23	3.09049053394791	1	0.222	4.29679036677434e-19
Ets2	2.24472993120503e-23	-1.28590887208638	0.75	1	4.73391095191828e-19
Gda	2.99996562032019e-23	1.56464251634156	1	0.889	6.32662749669324e-19
Cad	3.32082722864106e-23	-3.4432343911095	0.5	1	7.00329254248113e-19
Uqcr10	3.48961350546255e-23	-1.06914616104077	1	1	7.35924592166998e-19
Atp2b1	3.64684819479416e-23	0.859114871039105	1	1	7.69083815800141e-19
Ctso	5.81123793114764e-23	2.24392558288609	1	0.333	1.22553196729973e-18
Dnase1l1	7.83012382615535e-23	2.0726278000874	0.5	0.556	1.6512948136979e-18
mt-Cytb	7.99710203034228e-23	0.273854845018763	1	1	1.68650884717888e-18
Pld3	8.7534131675919e-23	-1.00666373028101	1	1	1.84600730291346e-18
Prdx3	8.84929451535442e-23	1.48639866623757	1	1	1.86622772034309e-18
Tpra1	9.31157437396716e-23	-1.73053932500677	1	0.889	1.96371791972594e-18
Klhl3	9.69207018267777e-23	3.55896729218821	1	0.222	2.04396068082491e-18
Eif4g1	1.01358354505177e-22	-1.09461142955671	1	1	2.13754633815967e-18
Ifngr1	1.02130749230432e-22	1.81378119121704	1	0.667	2.15383537052059e-18
Ncoa3	1.11368220041422e-22	-2.19930880822341	1	1	2.34864439245355e-18
Cndp2	1.14816933838795e-22	1.15042882581652	1	0.889	2.42137431772635e-18
Ssna1	1.25443745928138e-22	1.31785843057832	1	0.889	2.64548315787851e-18
Abcf1	1.35582515061243e-22	-1.55161055215429	1	1	2.85929966012655e-18
Crcp	1.48184790514483e-22	2.63624300566485	1	0.556	3.12506904715992e-18
St8sia4	1.55399292405101e-22	1.33593495288124	1	0.778	3.27721567753118e-18
Nploc4	1.91679902679488e-22	1.49559549801549	1	0.778	4.04233746760773e-18
Nans	2.28013616583897e-22	1.27323571868461	1	1	4.80857916013781e-18
Rps6ka1	2.31157381113133e-22	2.92124588858559	1	0.667	4.87487801029486e-18
Septin9	2.38491567279339e-22	-1.60838138810479	1	0.889	5.02954866235398e-18
Use1	2.45261497635239e-22	1.40843708814204	1	1	5.17231972362955e-18
Gas7	2.77657125099309e-22	2.05008523143631	0.75	0.444	5.85551111121933e-18
Hexa	2.8501964490405e-22	-0.85830018102263	1	1	6.01077929138152e-18
Pid1	3.6318165701719e-22	3.00642626915943	1	0.667	7.65913796483553e-18
Haus8	3.67813122138149e-22	-1.92629031381699	1	1	7.75681093277141e-18
Helz2	4.08543988408405e-22	4.8703647195834	0.75	0.333	8.61578417154486e-18
Ikbkb	4.13633075055118e-22	1.50534533265779	1	0.889	8.72310791983739e-18
Eed	4.6310839836757e-22	1.4134820327768	1	1	9.76649301317369e-18
Antxr2	4.73662880630947e-22	2.30485458152842	0.5	0.333	9.98907648962605e-18
P2ry14	5.79958325317613e-22	1.42725704791192	1	0.778	1.22307411226231e-17
H2-K1	6.12718728360892e-22	-0.316131961156549	1	1	1.29216252624028e-17
Adap1	6.2229860328687e-22	3.04439411935845	0.75	0.333	1.31236552447168e-17
Ccnd2	7.93967365576338e-22	-1.13241869712665	1	1	1.67439777726394e-17
Slc30a5	8.44652948711902e-22	1.67545303466906	1	0.778	1.78128860353853e-17
Pik3r5	8.91966637740449e-22	-1.08658768499609	1	1	1.88106844233083e-17
Irak3	1.12912023911517e-21	3.29021923516002	1	0.333	2.38120167226999e-17
Cyth4	1.30761728448234e-21	1.8118774807483	1	0.444	2.75763409124482e-17
Gramd1a	1.37035227443389e-21	-1.78849589480629	0.75	1	2.88993591155363e-17
Malat1	1.4134912852e-21	-0.472381846811512	1	1	2.98091177135828e-17
Poglut2	1.46487505974679e-21	2.58020897075052	1	0.222	3.08927501350001e-17
Med20	1.52632398417951e-21	2.19546009354945	1	0.444	3.21886465023616e-17
Vps9d1	1.5851642607449e-21	2.96248292157184	1	0.333	3.34295290948491e-17
Ptpn6	1.67885297357786e-21	1.59943298352949	1	0.667	3.54053303597835e-17
Slfn2	1.71685874434826e-21	0.789320999227343	1	1	3.62068340595605e-17
Cgnl1	2.84617777831105e-21	1.74024072619907	1	0.667	6.00230431668018e-17
Stab1	3.13352119155652e-21	2.72544372427099	0.75	0.444	6.60828284087355e-17
1700017B05Rik	3.26848130171611e-21	-3.48407914370849	0.5	1	6.8929002171891e-17
