p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Emc10	6.62234520550777e-10	-0.851448649350255	1	0.889	1.39658638038953e-05
Ica1	6.83009462662377e-10	1.65535182861255	0.5	0.444	1.44039865580869e-05
Ahr	7.38009067555132e-10	1.40125054754877	0.75	0.667	1.55638732256702e-05
Myof	8.14025312585818e-10	-1.16046467219325	0.75	0.667	1.71669798171223e-05
Mrpl3	1.12712661183766e-09	1.23004599387988	0.75	0.556	2.37699731170445e-05
Ubiad1	1.37530520873329e-09	-2.44057259138598	0.25	0.444	2.90038115469763e-05
Bcl10	1.53839448355042e-09	1.1197392442741	1	0.667	3.24432012635948e-05
Txndc11	2.41248672434289e-09	-1.31339723740301	0.75	0.667	5.08769325296672e-05
Nmnat3	3.31524041726538e-09	-2.15200309344505	1	0.667	6.99151051597096e-05
Ivd	3.32818469332397e-09	3.69348695749933	1	0.222	7.01880869975092e-05
Lsm4	3.47291330397332e-09	-1.59616795542904	1	1	7.32402686674933e-05
Aldh18a1	3.62830677893564e-09	-1.56046793880041	0.5	0.556	7.65173616609738e-05
Ipo5	3.82092991549703e-09	-0.626821821049311	1	0.889	8.05795909879168e-05
Atg2b	4.28226334068669e-09	-2.36257007938471	0.75	0.667	9.03086515917416e-05
Pck2	6.3976835566362e-09	1.32604420335959	0.75	0.222	0.000134920748525901
Pidd1	7.30877955524473e-09	-2.82102985895468	0.25	0.556	0.000154134852040556
Pilrb1	9.48538822429594e-09	1.71306732646884	0.75	0.222	0.000200037352262177
Ndc1	1.10196482541104e-08	-1.91753783980803	0.75	0.444	0.000232393362030935
Tmem8	1.1463021930984e-08	2.79141337818858	0.25	0.333	0.000241743669502522
Lrrc8d	1.22352649590522e-08	3.33985000288462	1	0.222	0.000258029502721451
Pla2g4a	1.45281958893965e-08	-2.954770746007	0.5	0.333	0.000306385123111482
Mapkap1	1.53180852319553e-08	-1.29822383429609	0.75	0.667	0.000323043099456704
Cotl1	1.57888173138317e-08	-1.92168607239951	1	1	0.000332970368331396
Def8	1.73794596172661e-08	-1.66879409152463	0.25	0.556	0.000366515423868524
Tfdp2	1.89848964250681e-08	1.15432814639129	0.75	0.667	0.000400372480708261
Tmem38b	2.13046510158237e-08	-2.4447848426729	0.25	0.556	0.000449293785272706
F7	2.5687729506368e-08	0.618089280329752	0.5	0.556	0.000541728527559796
BC004004	2.65374720199395e-08	1.07416601863688	1	0.778	0.000559648747428505
Tprn	3.22149101307936e-08	-3.49845350746648	0.25	0.444	0.000679380239748307
Naif1	3.65873767802236e-08	-2.85982234195174	0.25	0.667	0.000771591188918136
Asb8	3.78397920895427e-08	-1.45810622117073	0.5	0.778	0.000798003375376365
Rfc3	3.85723681417432e-08	-1.38217286537322	0.75	0.778	0.000813452671741222
Anp32a	3.97138244454771e-08	-2.35662081305352	1	1	0.000837524843730667
Ldlrap1	4.12711088540756e-08	-1.56961453638772	0.75	0.667	0.000870366414623599
Clec10a	4.21813547325188e-08	-1.93627440238961	0.5	0.333	0.000889562589954088
Prmt9	6.99963574021323e-08	1.55694812455156	0.5	0.444	0.00147615318125357
Itgav	7.2055477609486e-08	-4.34914956362239	0.5	1	0.00151957796730645
Atp13a2	7.21939504459752e-08	1.25122510354416	0.5	0.333	0.00152249822095517
Mad2l1	1.19924355834205e-07	-1.92252124732228	0.5	0.556	0.00252908474018754
Tmem39a	1.40672435893012e-07	2.96639160735718	1	0.778	0.00296664100054773
Plxna1	1.45903367971888e-07	-1.16373238602716	0.75	0.556	0.00307695612715915
Gna12	1.46717312385118e-07	0.916944260272442	1	0.556	0.00309412140088976
Phtf2	1.73723206792887e-07	1.13473557298001	0.75	0.556	0.00366364870805519
Pih1d1	1.75215248897991e-07	1.08930654123403	0.75	0.556	0.00369511438400974
Stx17	1.75850412043558e-07	1.10358250661362	1	0.333	0.00370850933958659
D430042O09Rik	1.85366381050747e-07	1.62935662007961	0.5	0.333	0.00390919160997921
Fam98a	1.93870993692419e-07	-2.68251781014383	0.5	0.444	0.00408854538597943
Wipi2	2.1327259040099e-07	0.967108118442625	1	0.778	0.00449770565896648
Mms22l	2.14711864954991e-07	1.39231742277876	0.75	0.444	0.0045280585200358
Plec	2.23523119704313e-07	-0.62377655334154	1	1	0.00471387907144425
Pigyl	2.26052641173475e-07	-2.71881824745595	1	1	0.00476722414970742
Ppp1r13l	2.31462514210963e-07	2.8703647195834	1	0.222	0.00488131296219501
Fam126a	2.43933774161397e-07	-1.65604559878264	0.5	0.667	0.00514431936328969
Cox10	2.45906128436537e-07	-1.24070731871653	1	0.667	0.00518591434259813
Usp21	2.48334965205459e-07	-2.48542682717024	0.5	0.556	0.00523713608121793
Shisa5	2.53148122010972e-07	-0.51720255727887	1	0.889	0.00533864074508939
Fcrls	2.61357342218104e-07	-1.98927359340694	0.25	0.444	0.00551176499003759
Ccn1	2.69740599838052e-07	-5.14114210081328	0.25	0.444	0.00568855950998467
Rpap1	3.01994992850787e-07	-1.97846683845036	0.75	0.556	0.00636877240423024
Adam9	3.47557553578697e-07	0.892696714025765	1	0.667	0.00732964124742114
Ankrd16	4.35456617681226e-07	3.16992500144231	1	0.222	0.00918334461027938
Ccnd3	4.46175710291829e-07	1.26614031670162	0.75	0.556	0.00940939955434438
Zmym3	4.49563990867247e-07	-2.18762700317577	0.5	0.333	0.00948085500339938
Tbcc	4.93388276549526e-07	-1.68805599368526	0.5	0.556	0.010405065364153
Ccl9	5.74004137304497e-07	-1.76813682154254	1	1	0.0121051732516145
Xrcc1	5.76228544890872e-07	-1.67807190511264	0.5	0.444	0.0121520837832036
Pdrg1	6.01277966466117e-07	-2.07214978575584	0.25	0.556	0.0126803510348039
Kansl3	6.03566592047626e-07	0.797012977836145	0.75	0.778	0.0127286158596924
Bsdc1	6.20447435533024e-07	1.26946067499323	0.5	0.556	0.0130846159679559
Polr2h	6.57089702868861e-07	-1.30485458152842	0.75	0.889	0.0138573647438014
Zfp131	7.28961902066717e-07	-1.58981190038255	0.5	0.778	0.015373077552685
Grhpr	7.6216351091344e-07	-1.3743955147815	1	0.667	0.0160732662816535
Nf2	9.62803541308541e-07	1.07915953751913	0.75	0.556	0.0203045638826558
Slc25a30	9.95343068299014e-07	1.44555944405574	0.5	0.444	0.0209907899673579
Nup188	9.99191055014939e-07	-1.38148493956782	1	0.667	0.0210719401592101
Ifi209	1.09758963899982e-06	2.46948528330122	1	0.333	0.0231470678968672
Kit	1.10212639115698e-06	1.51784830486262	0.5	0.444	0.0232427434631096
Abcb8	1.14371118569601e-06	-1.47162102764521	0.5	0.444	0.0241197251951432
Mier2	1.18795625985124e-06	-2.48032895953056	0.25	0.444	0.0250528095640028
Dolk	1.28289809109173e-06	1.31288295528436	0.5	0.444	0.0270550378430336
Cwf19l1	1.28617158067874e-06	-2.67556504950206	0.25	0.556	0.027124072464934
Mboat7	1.31005177739635e-06	0.975277570588769	1	0.556	0.0276276819335116
Ccr5	1.35579576669708e-06	3.61738397841353	1	0.222	0.0285923769238746
Zmynd19	1.40090318744622e-06	-2	0.25	0.444	0.0295436473200534
Mt1	1.44631505694996e-06	-2.07464623494752	1	1	0.0305013382360178
Cercam	1.45171166860621e-06	-1.11300896182919	0.75	0.889	0.0306151473792365
Ash1l	1.4783450070351e-06	-1.01449956969512	0.75	0.889	0.0311768178533632
Ascc3	1.5169549220512e-06	0.679740725473256	1	0.667	0.0319910623511378
Arih2	1.55165201551795e-06	0.973233090437214	1	0.667	0.0327227893552581
Arid5a	1.55681011492334e-06	-1.74261215730735	0.5	0.556	0.0328315685136183
Lsg1	1.6546217420514e-06	-1.64823667557187	0.5	0.667	0.034894317918122
Borcs8	1.6886941685634e-06	2.75488750216347	1	0.444	0.0356128713208335
Gpr35	1.7406742972101e-06	-0.991538421251804	0.5	0.889	0.0367090802538638
Tapbp	1.76374695463419e-06	-1.49483821049196	1	1	0.0371956595262804
Csf2rb	1.8008306053174e-06	-1.21093937065351	1	1	0.0379777166355386
Bex3	1.83755300299875e-06	-1.44360665147561	0.25	0.556	0.0387521552802407
Cbx2	2.15319072443723e-06	-1.96252529458134	0.5	0.333	0.0454086391876568
Acod1	2.30856590485509e-06	5.29545588352617	0.75	0.222	0.048685346367489
Lrrc8b	2.38628047926206e-06	-3.69707286704269	0.75	1	0.0503242690271575
