Gm19938
Rp1
Gm6101
Gm7357
Gm6085
Gm2053
Gm6123
Mrpl15
Lypla1
Tcea1
Gm6104
Gm37277
Rgs20
Gm37079
Gm16041
Atp6v1h
Gm36965
Rb1cc1
4732440D04Rik
Gm19026
St18
Gm42492
Gm7449
Gm37108
Pcmtd1
Gm26983
Gm38372
Gm9826
Nras-ps2
Gm26901
Rps2-ps2
Gm36964
Gm24276
Gm6187
Gm7512
Rrs1
Adhfe1
2610203C22Rik
Mybl1
Vcpip1
1700034P13Rik
Sgk3
Gm6195
Gm22607
Mcmdc2
Snhg6
Snord87
Tcf24
Cops5
Cspp1
Arfgef1
Gm37569
Cpa6
Gm15604
Gm28659
Prex2
Gm28686
Gm7560
Gm2383
Gm6216
Sulf1
Slco5a1
Prdm14
Ncoa2
Gm38376
Gm37409
Gm38223
Gm37702
Gm38120
Gm38380
Gm29570
Gm7593
Tram1
Lactb2
Gm38319
Gm5523
Eya1
Rpl5-ps1
Trpa1
Gm10566
Kcnb2
Gm38116
Gm6060
Terf1
Gm7634
4930444P10Rik
Rpl7
Rdh10
Stau2
Ube2w
Gm38342
Eloc
D030040B21Rik
Gm7654
Tmem70
Ly96
Gm5828
Jph1
Gdap1
Gm5251
Rbm6-ps1
Gm6075
Pi15
Gm7690
Gm17837
Tfap2b
Gm28341
Gm4849
Pkhd1
Gm15795
Gm28653
Mcm3
Gm20587
Paqr8
Efhc1
Tram2
Tmem14a
Gsta3
Gm28836
Gm7094
Gm4956
Gm21909
Kcnq5
Gm36949
Gm7658
Gm38243
Gm5696
Rims1
Ogfrl1
Gm7784
B3gat2
Smap1
Sdhaf4
Fam135a
Gm26607
Col9a1
Col19a1
Gm28439
Gm10222
Gm28438
Gm28437
Gm10925
Gm28661
Gm29216
Lmbrd1
Adgrb3
4931408C20Rik
Gm19641
Gm19028
Gm7846
Gm18033
Gm5525
Gm7858
Gm6473
Phf3
Gm37522
Gm37906
Ptp4a1.1
Ptp4a1
Gm9458
Eef1a1-ps2
Gm19680
Khdrbs2
Gm7114
Gm7933
Prim2
Gm29228
Gm37618
Gm17813
1700001G17Rik
Rab23
Bag2
Zfp451
Gm15455
Bend6
Dst
Gm37354
Gm38157
Gm26788
A930005N03Rik
Gm3052
Gm37233
Ccdc115
Gm28306
Imp4
Ptpn18
Gm28417
4930568A12Rik
Amer3
Arhgef4
Gm38336
Fam168b
Gm37127
Plekhb2
Gm37670
Gm8022
Hs6st1
Gm33280
Uggt1
Neurl3
Arid5a
4930403P22Rik
Kansl3
Fer1l5
Lman2l
Cnnm4
Gm37909
Cnnm3
Ankrd23
Ankrd39
Sema4c
D430040D24Rik
Fam178b
Gm6428
Cox5b
Actr1b
4933424G06Rik
Zap70
Tmem131
Gm37506
Gm38115
F830112A20Rik
Rpl12-ps1
Vwa3b
Inpp4a
4930439A04Rik
Coa5
Unc50
Mgat4a
4930594C11Rik
Gm43213
2010300C02Rik
Tsga10
Lipt1
Mitd1
Mrpl30
Lyg2
Txndc9
Eif5b
Rev1
Aff3
Gm16150
Gm16151
Gm16152
Gm34727
Lonrf2
Chst10
Gm37707
Gm6621
Pdcl3
Gm37309
Npas2
Gm3617
Rpl31
Tbc1d8
Gm37265
Cnot11
Gm15832
Snord89
Rnf149
Gm23722
Gm5100
Creg2
1700066B17Rik
Map4k4
Il1r2
Gm16894
Gm37347
Il1r1
Il1rl2
Gm17970
Il1rl1
Il18r1
Il18rap
Slc9a4
Slc9a2
Mfsd9
Tmem182
Gm5973
Gm28634
Gm8176
Mrps9
Tgfbrap1
AI597479
Fhl2
Nck2
Gm37536
Gm38228
Ecrg4
Gm29155
Gm29156
Uxs1
Gm16103
Gm19587
Tpp2
Mettl21c
Gm8251
Tex30
Poglut2
Bivm
Ercc5
Gm15833
Gm28893
Txn-ps1
Gm16102
Col3a1
Col5a2
Gm7063
Gm8304
Wdr75
Gm5526
Gm5269
Slc40a1
Rpl23a-ps1
Stk-ps2
Gm18849
Dnah7b
Gm8326
Dnah7c
Slc39a10
Gm28151
Gm4852
Gm8337
Gm5974
Gm8357
Tmeff2
Nabp1
Gm17767
Gm37535
Gm28055
Myo1b
Gm28323
Gm8419
Gm8420
Stat4
Gm28177
Gm3940
Gm31812
Stat1
Gm18301
Gls
Nab1
Gm5976
Rps27a-ps1
Gm553
Gm5527
Nemp2
Gm37242
Mfsd6
Gm29670
Inpp1
Hibch
1700019A02Rik
Pms1
Gm28777
Ormdl1
Osgepl1
Gm18800
Asnsd1
Dnah7a
Stk17b
Hecw2
Ccdc150
Gtf3c3
Pgap1
Gm36955
Ankrd44
4930444A19Rik
Gm37370
A130048G24Rik
Sf3b1
E330011M16Rik
Coq10b
Gm17971
Hspd1
Hspe1
Gm5147
Gm16581
Mob4
Gm6822
Rftn2
Mars2
Gm8292
Gm29138
Plcl1
Gm38056
Gm37382
Satb2
9130024F11Rik
Gm5254
1700066M21Rik
Tyw5
Maip1
Spats2l
Kctd18
Sgo2a
Aox1
Aox4
Aox2
Bzw1
Clk1
Ppil3
Nif3l1
Orc2
Gm15834
Fam126b
Ndufb3
Gm29389
Gm18802
Gm20257
Cflar
Gm3841
Casp8
Gm37760
Gm28802
Trak2
Stradb
C2cd6
Tmem237
G730003C15Rik
Mpp4
Gm29017
Als2
Cdk15
Gm37737
Fzd7
Gm26813
Gm973
Sumo1
D430013B06Rik
Nop58
Gm26287
Bmpr2
Gm38125
Gm37977
Fam117b
Gm37531
Gm18829
Ica1l
Wdr12
Carf
Gm15464
Nbeal1
Cyp20a1
6030460B20Rik
Abi2
Raph1
Gm11575
Gm11576
Eif4a-ps4
Cd28
Gm37198
Gm11581
Ctla4
Rpl18-ps1
Gm11582
Icos
Gm37039
Rpl17-ps1
Pard3b
Gm38012
Pard3bos1
Gm29640
Gm38351
Gm11599
Nrp2
Gm29083
Gm37121
Ino80d
Rps27-ps1
Ino80dos
Gm20342
Ndufs1
Eef1b2
Gm26457
Snora41
Zdbf2
Gm11605
Adam23
Dytn
Fastkd2
Gm13751
Klf7
Gm13750
Creb1
Mettl21a
2810408I11Rik
Ccnyl1
Fzd5
Plekhm3
Rpl31-ps24
Rpl10a-ps1
D630023F18Rik
Idh1
Pikfyve
Pth2r
Gm28926
Gm28922
Gm8805
Gm15659
Gm8812
Map2
Unc80
Rpe
Kansl1l
Gm37570
Gm38387
Gm38162
Gm15789
6820402A03Rik
Gm37755
Gm38218
Acadl
Gm15793
Rpl31-ps14
Lancl1
Cps1
Erbb4
Gm15670
Gm37735
Gm8840
Ikzf2
Gm29112
Gm28112
Spag16
Gm28580
Bard1
Gm8870
Abca12
Atic
Fn1
Apol7d
Gm5256
Gm37217
Gm8883
Gm28818
4933417E11Rik
Gm5528
Gm8885
Gm4319
Mreg
Pecr
Tmem169
Xrcc5
Gm15843
Smarcal1
Rpl37a
Igfbp5
Pinc
Tns1
Rufy4
Cxcr2
Arpc2
Gpbar1
Aamp
Pnkd
