orig.ident,nCount_RNA,nFeature_RNA,nUMI,mouse_nUMI,toxo_nUMI,nGene,mouse_nGene,toxo_nGene,cell_ID,mouse_nUMI_p,toxo_nUMI_p,mouse_nGene_p,toxo_nGene_p,well,cell_class,percent.mt,percent.mature,percent.immature,nCount_SCT,nFeature_SCT,SCT_snn_res.0.8,seurat_clusters,cluster_and_cell_class,matureDC1,matureDC2,matureDC3,matureDC4,toxoclusters,Gra15_expression,Rop16_expression,celltype,cell_class_type,cluster_type,snn_ica_res.0.8,barcode,UMAP_1,UMAP_2
131,413380.183946326,4892,425834.868144223,403682.609371223,22152.258773,5138,4399,739,1,0.947979227559408,0.0520207724405917,0.85616971584274,0.14383028415726,131_A10,LDM_3h,1.39993339103826,0,0,251099,4884,1,1,1_LDM_3h,-3.62376747000155,-3.89006023395448,-1.48320681121847,-3.85237883998272,toxo_3,Gra15-,Rop16-,GM-Mac,LDM_3h_GM-Mac,1_GM-Mac,1,131_A10,2.32665637772689,1.64376703221675
131,786287.052593352,5712,828736.127056351,762040.581464351,66695.545592,6194,5157,1037,2,0.919521373070943,0.0804786269290574,0.832579916047788,0.167420083952212,131_A11,LDM_3h,2.69525109323658,1.90611822296625,0,252083,5692,0,0,0_LDM_3h,4.69664597976338,3.73733579999705,4.6581076456502,3.23785474919348,toxo_3,Gra15+,Rop16-,GM-DC,LDM_3h_GM-DC,0_GM-DC,8,131_A11,-2.71770449835649,-0.77342417519216
131,1044413.98845965,5756,1306181.71123918,1011311.98997018,294869.721269,6764,5255,1509,3,0.774250612505319,0.225749387494681,0.776907155529273,0.223092844470727,131_A13,LDM_12h,3.05701075136771,0.738043926092606,0,252424,5743,6,6,6_LDM_12h,3.47462727372818,4.94190746296696,-1.89800674366675,1.68015119175923,toxo_2,Gra15-,Rop16+,GM-DC,LDM_12h_GM-DC,6_GM-DC,5,131_A13,-1.03356089550844,-1.03930714409475
131,252368.805279138,6196,281077.345105002,242485.597344002,38591.747761,6675,5109,1566,4,0.862700610941863,0.137299389058137,0.765393258426966,0.234606741573034,131_A14,LDM_12h,3.7981155663823,1.00343460180337,0,248646,6181,4,4,4_LDM_12h,3.71756592584064,5.30952360064379,-1.97872778138615,1.5350673562209,toxo_0,Gra15+,Rop16-,GM-DC,LDM_12h_GM-DC,4_GM-DC,5,131_A14,0.758214748317095,-1.18889692108755
131,320635.16245225,7346,315174.23659915,309168.00765415,6006.228945,7393,6793,600,5,0.980943147479916,0.0190568525200838,0.918842147977817,0.0811578520221831,131_A15,LDM_12h,3.11054471621942,0.264959329950874,0,248340,7286,2,2,2_LDM_12h,2.26936359328621,3.19555051564861,-2.49322835510722,-0.195687315781567,toxo_0,Gra15-,Rop16-,GM-Mac,LDM_12h_GM-Mac,2_GM-Mac,3,131_A15,1.57993534844527,0.964487440328556
131,539518.595027,7242,633159.569242456,525951.894035456,107207.675207,9295,6596,2699,6,0.830678267509613,0.169321732490387,0.709628832705756,0.290371167294244,131_A17,LDM_12h,2.56721847285113,0.725765265409046,0,250632,7226,4,4,4_LDM_12h,3.52756732759136,4.69978087756289,0.0378698679124669,2.10064961612087,toxo_0,Gra15-,Rop16-,GM-DC,LDM_12h_GM-DC,4_GM-DC,0,131_A17,0.738924539500567,-1.01858189385061
131,393776.465388412,6692,569493.640533074,381476.048483074,188017.59205,8866,6070,2796,7,0.669851287761517,0.330148712238483,0.684637942702459,0.315362057297541,131_A18,LDM_12h,2.6909323795032,0.0224336504757136,0,249625,6670,4,4,4_LDM_12h,0.10131641761516,3.02216553164018,-2.0864409093268,1.18631131039182,toxo_2,Gra15-,Rop16+,GM-DC,LDM_12h_GM-DC,4_GM-DC,2,131_A18,0.908798253947589,-0.822634485174459
131,1700398.27244907,4551,1617423.22915846,1616615.83726846,807.39189,4224,4191,33,8,0.99950081594264,0.000499184057360227,0.9921875,0.0078125,131_A1,ctrl,5.6951625109876,0.00348760157639591,0,258057,4544,1,1,1_ctrl,-1.7024300309238,-0.94408891368386,-1.80070669865913,-2.63625919772471,NA,NA,NA,GM-Mac,ctrl_GM-Mac,1_GM-Mac,4,131_A1,3.04303149026045,0.950115210752445
131,2031778.16430295,5519,1959150.21626994,1957029.59634994,2120.61992,5163,5091,72,9,0.998917581764589,0.00108241823541101,0.986054619407321,0.0139453805926787,131_A22,LDM_Lys3h,4.61702972293647,0.102159726538223,0,257440,5510,2,2,2_LDM_Lys3h,1.33173777662683,3.55618212851922,-1.67590088882836,2.38354016749363,NA,NA,NA,GM-DC,LDM_Lys3h_GM-DC,2_GM-DC,9,131_A22,-0.0613414581476721,1.31542620379801
131,490482.360831249,5049,448365.578195929,448128.490211929,237.087984,4666,4620,46,11,0.99947121724876,0.000528782751240543,0.990141448778397,0.00985855122160309,131_A3,ctrl,9.88774989844858,0.000398644608331672,0,250850,5039,2,2,2_ctrl,-3.25799989807615,-3.15478089788852,-1.88252660693811,-3.73257068511064,NA,NA,NA,GM-Mac,ctrl_GM-Mac,2_GM-Mac,0,131_A3,0.304324901515338,1.29576716143962
131,855341.951247486,6822,833605.122229381,833364.270949381,240.85128,6267,6225,42,12,0.999711072696679,0.000288927303320631,0.993298228817616,0.00670177118238392,131_A4,ctrl,3.32754022966948,0,0,251405,6798,2,2,2_ctrl,-4.05324570611055,-0.0223716953200848,1.90785577700337,1.12525027142967,NA,NA,NA,GM-Mac,ctrl_GM-Mac,2_GM-Mac,9,131_A4,0.301115847045275,0.983819227110105
131,477611.78385508,4067,443961.048496127,443839.657430127,121.391066,3691,3662,29,13,0.999726572710802,0.000273427289198455,0.992143050663777,0.00785694933622325,131_A5,ctrl,6.11999990328318,0.640635625067106,0,251469,4059,0,0,0_ctrl,3.93236867174869,4.72557879398559,3.5113888367922,0.453465835216142,NA,NA,NA,GM-DC,ctrl_GM-DC,0_GM-DC,2,131_A5,-2.75619145590654,-0.901885178495688
131,176600.194304837,4816,169933.622006013,169892.631350013,40.990656,4012,4009,3,14,0.999758784309332,0.000241215690668616,0.999252243270189,0.000747756729810568,131_A6,ctrl,4.29684759344126,0,0,246271,4801,1,1,1_ctrl,-3.68164053369228,-1.41255374344433,-1.28216173379847,-0.710022074490487,NA,NA,NA,GM-Mac,ctrl_GM-Mac,1_GM-Mac,6,131_A6,2.08340266984114,0.685043963979441
131,770730.905486193,6644,841551.721817811,755926.077655811,85625.644162,7619,6186,1433,15,0.898252665947801,0.101747334052199,0.81191757448484,0.188082425515159,131_A8,LDM_3h,1.91199489953034,0.000396634949091904,0,252121,6632,1,1,1_LDM_3h,-3.46612891558268,2.65144833757807,-2.17055443289515,0.678332968051059,toxo_3,Gra15+,Rop16-,GM-Mac,LDM_3h_GM-Mac,1_GM-Mac,0,131_A8,1.35892776291976,1.42677328307505
131,559340.735046527,7919,854696.333776971,544789.035194971,309907.298582,10996,7366,3630,16,0.637406542727878,0.362593457272123,0.669879956347763,0.330120043652237,131_A9,LDM_3h,1.83149257672926,0.498312103706926,0,248238,7477,6,6,6_LDM_3h,3.07511073430671,4.94766708210506,-1.88431275517119,2.88158026797884,toxo_3,Gra15+,Rop16-,GM-DC,LDM_3h_GM-DC,6_GM-DC,0,131_A9,-1.08084728676668,-1.02818455975179
